;Гр.;Time;Date;МАТЧ;;;Счет матча;;;Антон;;;Георгий;;;Герман;;;Олег;;;Тимур;;;Юрий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ матча;Группа;Время;Дата;Хозяева;Гости;;Счет хозяев;Счет гостей;;Антон Прогноз хозяева;Антон Прогноз гости;Очки;Прогноз хозяева;Прогноз гости;Очки;Прогноз хозяева;Прогноз гости;Очки;Прогноз хозяева;Прогноз гости;Очки;Прогноз хозяева;Прогноз гости;Очки;Прогноз хозяева;Прогноз гости;Очки;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;A;22:00;11.06.2026;Мексика;ЮАР;2;;;2;3;1;;2;1;;3;1;;2;0;;2;0;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;А;05:00;12.06.2026;Южная Корея;Чехия;;;;;1;1;;1;2;;1;2;;1;0;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;B;22:00;12.06.2026;Канада ;Босния и Герцеговина;;;;;1;2;;1;0;;2;1;;1;0;;2;0;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;D;04:00;13.06.2026;США;Парагвай;;;;;2;1;;2;0;;2;0;;1;0;;2;0;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;B;22:00;13.06.2026;Катар;Швейцария;;;;;1;1;;1;2;;0;3;;0;2;;0;3;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;C;01:00;14.06.2026;Бразилия;Марокко;;;;;2;1;;3;0;;2;1;;3;0;;2;1;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;C;04:00;14.06.2026;Гаити;Шотландия;;;;;0;2;;0;3;;1;3;;1;2;;0;2;;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;D;07:00;14.06.2026;Австралия;Турция;;;;;0;3;;1;2;;1;2;;0;2;;1;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;E;20:00;14.06.2026;Германия;Кюрасао;;;;;7;0;;8;0;;8;0;;3;0;;5;0;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;F;23:00;14.06.2026;Нидерланды;Япония;;;;;1;2;;2;1;;2;1;;1;1;;2;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;E;2:00;15.06.2026;Кот-д’Ивуар;Эквадор;;;;;2;1;;3;1;;1;1;;1;1;;1;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;F;5:00;15.06.2026;Швеция;Тунис;;;;;1;1;;2;0;;1;0;;2;0;;1;0;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;H;19:00;15.06.2026;Испания;Кабо-Верде;;;;;6;1;;5;0;;6;0;;3;0;;4;0;;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;G;22:00;15.06.2026;Бельгия;Египет;;;;;2;2;;3;1;;3;1;;2;0;;2;0;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;H;1:00;16.06.2026;Саудовская Аравия;Уругвай;;;;;0;2;;1;3;;0;3;;0;4;;0;2;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;G;4:00;16.06.2026;Иран;Новая Зеландия;;;;;1;0;;2;0;;2;0;;0;1;;1;0;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;I;22:00;16.06.2026;Франция;Сенегал;;;;;4;1;;3;1;;4;1;;1;0;;2;0;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;I;1:00;17.06.2026;Ирак;Норвегия;;;;;0;2;;0;2;;0;3;;0;3;;0;2;;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;J;4:00;17.06.2026;Аргентина;Алжир;;;;;3;2;;4;1;;3;1;;2;0;;2;0;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;J;7:00;17.06.2026;Австрия;Иордания;;;;;2;1;;1;0;;3;0;;3;0;;3;0;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;K;20:00;17.06.2026;Португалия;ДР Конго;;;;;3;0;;4;0;;4;0;;2;0;;2;0;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;L;23:00;17.06.2026;Англия;Хорватия;;;;;2;1;;2;2;;3;1;;1;1;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;L;2:00;18.06.2026;Гана;Панама;;;;;2;2;;2;0;;2;2;;2;1;;2;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;K;5:00;18.06.2026;Узбекистан;Колумбия;;;;;1;3;;1;2;;0;4;;1;2;;0;2;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;A;19:00;18.06.2026;Чехия;ЮАР;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;B;22:00;18.06.2026;Швейцария;Босния и Герцеговина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;B;1:00;19.06.2026;Канада ;Катар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;A;4:00;19.06.2026;Мексика;Южная Корея;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;D;22:00;19.06.2026;США;Австралия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;C;1:00;20.06.2026;Шотландия;Марокко;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;C;4:00;20.06.2026;Бразилия;Гаити;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;D;7:00;20.06.2026;Турция;Парагвай;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;F;20:00;20.06.2026;Нидерланды;Швеция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;E;23:00;20.06.2026;Германия;Кот-д’Ивуар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;E;3:00;21.06.2026;Эквадор;Кюрасао;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;F;7:00;21.06.2026;Тунис;Япония;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;H;19:00;21.06.2026;Испания;Саудовская Аравия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;G;22:00;21.06.2026;Бельгия;Иран;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;H;1:00;22.06.2026;Уругвай;Кабо-Верде;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
